#          STEP          TOTAL        KINETIC      POTENTIAL           HARM          MORSE          ANGLE       DIHEDRAL        NLMORSE
         230000       -214.195        161.281       -375.476        63.0386       -316.527        105.914        27.1525       -255.054
         231000       -191.871        180.837       -372.708        57.1901       -309.192        98.2815        31.6616       -250.649
         232000       -212.798         172.18       -384.978        63.4486       -314.051        89.7406        31.3383       -255.455
         233000       -173.022        180.709       -353.732        76.7708       -310.032        102.263        30.4599       -253.193
         234000       -215.671        163.547       -379.218        58.8537       -316.659        99.7212        33.9083       -255.042
         235000       -193.899        176.391        -370.29        64.2663       -308.796        95.0563        27.6772       -248.495
         236000        -191.71        188.766       -380.476        55.9457       -319.141         97.379        28.3983       -243.057
         237000       -210.848        161.813       -372.661        66.8379       -312.715        98.5215        27.2386       -252.545
         238000       -202.767        161.015       -363.782        64.1296       -311.817        103.505        29.3039       -248.904
         239000       -183.112        180.996       -364.109        67.0184        -309.62        102.138         26.514       -250.159
         240000       -214.039        166.637       -380.677        54.3658       -312.361        101.025        25.1188       -248.825
         241000       -180.737        185.624       -366.361        68.0378       -314.056        99.6716        26.3078       -246.322
         242000       -193.479        180.629       -374.108        64.2319        -307.26        91.7454        27.2993       -250.124
         243000       -192.019        176.185       -368.205        65.5425       -310.973        94.0295        36.1902       -252.994
         244000       -226.715        154.335        -381.05        60.5972       -318.567        96.9531         34.124       -254.158
         245000       -189.093        178.779       -367.873        66.1524       -314.227        97.2026        27.8778       -244.878
         246000       -169.348        176.395       -345.744        75.3022       -311.419        92.5905        36.9481       -239.165
         247000       -189.434        183.514       -372.948        54.4792       -307.458        101.407        33.3998       -254.775
         248000       -201.606        178.317       -379.924        73.3067       -317.775        96.5527        28.0628       -260.071
         249000       -198.786        166.288       -365.074        64.9919       -312.698        104.265          26.95       -248.582
         250000       -212.397        146.675       -359.072        68.1459       -308.797        105.743        35.3858       -259.549
         251000        -184.58        173.145       -357.725        72.0561        -314.52        101.499        31.2404           -248
         252000       -188.206        169.663       -357.869        70.0194       -311.974        102.557        30.0995       -248.571
         253000       -194.569        170.663       -365.232        61.3595       -311.285        98.2766        33.0367        -246.62
         254000       -161.305        185.461       -346.767        69.2002       -307.583        107.564        31.5677       -247.516
         255000       -204.599        169.429       -374.028        63.9056       -314.245        102.011        28.9296       -254.629
         256000       -202.155        160.963       -363.118        63.5217       -309.243        103.367        32.2759        -253.04
         257000       -176.149        188.502       -364.651        66.8219       -308.579        103.504        33.1281       -259.526
         258000       -192.814        172.917       -365.731         64.902        -312.28        99.4234        26.8527       -244.628
         259000       -206.237        166.399       -372.635        72.9326       -321.685        100.723        25.4968       -250.103
         260000       -211.354        169.169       -380.524        53.8772       -312.717        100.963         25.884       -248.531
         261000       -184.089        187.441        -371.53        56.2806       -307.737        88.7901        26.5638       -235.427
         262000       -187.946        182.663       -370.609         61.762       -316.924          98.66        26.3736       -240.481
         263000       -175.726        183.766       -359.492        67.9295       -314.266        99.3228        33.1071       -245.585
         264000       -203.011        168.099       -371.111        55.8199       -311.378        98.2246        32.5833       -246.361
         265000       -213.226        157.811       -371.037        65.5073       -310.054        101.078        26.1533       -253.722
         266000       -203.024        155.885       -358.909        67.7751       -316.419        100.228        31.9981       -242.491
         267000       -195.046         172.77       -367.816        61.6961       -305.267        90.0613        35.1305       -249.437
         268000       -185.839        168.964       -354.803        63.8642        -306.21        96.8866        29.5298       -238.873
         269000       -226.081        157.734       -383.815        67.5478       -319.994        97.4704          22.87       -251.709
         270000       -194.478        176.744       -371.222        60.3494       -315.247        101.175        33.6102        -251.11
         271000       -187.497        174.749       -362.246        63.1576       -309.039        98.9688        28.5886       -243.922
         272000       -196.545        173.018       -369.563        67.2846       -317.839        107.124        26.6305       -252.763
         273000       -201.873        173.354       -375.227        51.7079       -312.131        101.718        27.9048       -244.427
         274000       -195.718        180.828       -376.546        66.8593       -318.375        104.693        27.2804       -257.003
         275000       -203.017        170.607       -373.624        66.6473       -314.923        101.916        30.3319       -257.596
         276000       -172.689        187.684       -360.373        72.7133       -312.121        100.532        28.5577       -250.055
         277000       -163.685        190.919       -354.603        80.3146       -314.151        102.684        27.0858       -250.537
         278000       -181.419        180.991        -362.41        67.8459       -309.975        102.228        25.2193       -247.729
         279000       -210.292         170.57       -380.862        58.4969       -318.114        102.321        30.4632       -254.028
         280000        -211.16        159.286       -370.446        61.1659       -314.404        99.6463        33.2615       -250.115
         281000       -189.541        175.849       -365.389        53.0253       -313.253        107.623        27.2976       -240.082
         282000       -205.799        167.373       -373.172        63.6569       -309.922        99.2591        28.2731       -254.439
         283000        -200.61        175.273       -375.882        57.8265       -310.745         98.336        33.8158       -255.116
         284000        -161.71        194.429       -356.139         69.587       -312.337        103.093        30.6921       -247.173
         285000       -217.861        167.886       -385.746        63.0502       -315.315        96.9062        28.6448       -259.033
         286000       -191.221        183.192       -374.414        62.0437       -313.886        90.9205        37.7652       -251.257
         287000       -171.028        175.983       -347.011         63.905       -306.763        102.441        32.1563       -238.751
         288000       -178.401        183.092       -361.493        70.3377       -310.466        93.4437        31.7802       -246.589
         289000       -209.591        175.463       -385.054        54.0205       -315.983        102.776        30.1402       -256.008
         290000       -210.267        170.142       -380.409         56.031       -308.992        95.9248        28.5631       -251.936
         291000       -189.573         178.17       -367.742        61.6788       -315.201        99.1106        33.3822       -246.713
         292000        -188.08        165.071       -353.151        78.8452       -310.848        97.9275        35.9805       -255.056
         293000        -201.74        175.118       -376.858        71.3253       -319.407        97.9756        25.6721       -252.424
         294000       -231.733        159.086       -390.818        57.0096       -318.366        98.5161         26.718       -254.696
         295000       -181.668        191.941        -373.61         68.816       -317.831        101.026        23.1163       -248.737
         296000       -234.705        156.902       -391.607        59.7262        -317.94        100.648        25.0684       -259.109
         297000       -193.771        181.728       -375.499        63.2224       -312.458        97.6986         38.353       -262.315
         298000       -221.113        155.957        -377.07        59.5008       -314.708        97.4791        30.2374        -249.58
         299000       -209.961          166.8       -376.761         55.915       -310.005        91.8527        37.6891       -252.213
         300000       -201.359        183.972       -385.331        54.0023       -310.764        95.7306        29.1596       -253.459
         301000       -230.313          150.6       -380.912        56.8372       -309.176        95.2439        30.3918       -254.209
         302000       -218.168        167.016       -385.184        57.7766        -318.55        102.921        25.7034       -253.036
         303000       -202.937        167.964       -370.901        74.7701       -316.988        94.6533         30.436       -253.772
         304000       -212.986        169.718       -382.704        54.7604       -320.173        101.539        33.3506       -252.181
         305000       -200.391        169.269        -369.66        69.0391       -314.764        102.395         34.199        -260.53
         306000       -163.866        173.831       -337.697        77.4985        -299.51        103.212        34.4846       -253.382
         307000       -238.371        156.241       -394.612        50.8703       -310.329        93.8348        28.5306        -257.52
         308000       -198.692        182.817       -381.509        54.4306       -311.177        94.5406        31.5671        -250.87
         309000       -176.201        180.437       -356.638        71.9859       -310.075        104.484        24.7616       -247.795
         310000       -205.122          177.7       -382.822        55.5406       -317.068        99.8874        29.4352       -250.616
         311000       -194.429        178.147       -372.577        58.8876       -310.555         96.756        29.7258       -247.391
         312000       -219.492        149.642       -369.133        54.5603       -313.426        95.9646        36.4065       -242.639
         313000       -201.602        185.732       -387.335        55.9859       -315.743        97.0145        27.2545       -251.846
         314000       -204.633        158.021       -362.655        68.5413       -315.609        104.088        28.5418       -248.217
         315000       -177.548        184.979       -362.526        69.3852         -314.7        105.803        24.2753        -247.29
         316000       -175.107        174.347       -349.453        68.7875       -308.184        99.6804        30.3282       -240.066
         317000       -224.532        160.419       -384.951        61.8597       -310.735        90.5257        26.3212       -252.923
         318000       -202.846        178.606       -381.452        65.8806       -314.903        96.4993        20.9792       -249.907
         319000       -188.604         179.19       -367.794        68.1876       -317.492         97.639        30.3483       -246.477
         320000       -226.298        157.246       -383.544        56.2528       -310.005        93.0404        28.7999       -251.632
         321000       -190.267        166.729       -356.996        75.0808       -315.428        93.5719        34.5068       -244.728
         322000       -206.831        184.571       -391.402         63.658       -315.971        92.8905        24.4093       -256.389
